Iter  0 [ 24x 19, density=0.19, nnz= 160]: FAIL (Max error: 2.67e+02)
Iter  1 [ 15x 17, density=0.10, nnz=  30]: FAIL (Max error: 1.14e+02)
Iter  2 [ 42x 12, density=0.38, nnz= 180]: FAIL (Max error: 1.21e+44)
Iter  3 [ 35x 14, density=0.34, nnz= 255]: FAIL (Max error: 2.57e+44)
Iter  4 [ 17x  9, density=0.29, nnz=  68]: FAIL (Max error: 8.80e+43)
Iter  5 [ 33x 44, density=0.26, nnz= 344]: FAIL (Max error: 4.23e+02)
Iter  6 [ 28x 16, density=0.07, nnz=  80]: FAIL (Max error: 1.05e+02)
Iter  7 [ 39x 41, density=0.19, nnz= 347]: FAIL (Max error: 2.99e+02)
Iter  8 [ 30x 15, density=0.22, nnz= 147]: FAIL (Max error: 2.87e+02)
Iter  9 [ 38x 40, density=0.22, nnz= 331]: FAIL (Max error: 4.48e+02)
Iter 10 [ 27x 35, density=0.36, nnz= 329]: FAIL (Max error: 4.74e+02)
Iter 11 [  9x  5, density=0.39, nnz=  34]: FAIL (Max error: 2.42e+44)
Iter 12 [ 14x 19, density=0.14, nnz=  43]: FAIL (Max error: 1.60e+02)
Iter 13 [ 42x 45, density=0.36, nnz= 722]: FAIL (Max error: 3.60e+02)
Iter 14 [ 38x 27, density=0.39, nnz= 581]: FAIL (Max error: 4.25e+02)
Iter 15 [ 44x  8, density=0.37, nnz= 206]: FAIL (Max error: 1.95e+02)
Iter 16 [ 30x 12, density=0.15, nnz= 175]: FAIL (Max error: 2.47e+02)
Iter 17 [ 29x 29, density=0.32, nnz= 245]: PASS (Max error: 0.00e+00)
Iter 18 [ 17x 38, density=0.10, nnz=  78]: FAIL (Max error: 1.79e+02)
Iter 19 [ 43x 38, density=0.23, nnz= 549]: FAIL (Max error: 4.44e+02)
Iter 20 [ 39x 18, density=0.28, nnz= 282]: FAIL (Max error: 3.40e+02)
Iter 21 [  5x 30, density=0.29, nnz=  55]: FAIL (Max error: 2.65e+02)
Iter 22 [ 34x 11, density=0.11, nnz= 151]: FAIL (Max error: 1.64e+02)
Iter 23 [ 30x 36, density=0.21, nnz= 231]: FAIL (Max error: 5.10e+02)
Iter 24 [ 15x 19, density=0.22, nnz=  71]: FAIL (Max error: 1.57e+02)
Iter 25 [  5x 40, density=0.08, nnz=   7]: FAIL (Max error: 6.10e+01)
Iter 26 [  9x  5, density=0.10, nnz=  21]: FAIL (Max error: 5.31e+43)
Iter 27 [ 30x 25, density=0.24, nnz= 263]: FAIL (Max error: 3.37e+02)
Iter 28 [ 37x 43, density=0.32, nnz= 476]: FAIL (Max error: 3.51e+02)
Iter 29 [ 25x 13, density=0.28, nnz= 146]: FAIL (Max error: 2.49e+02)
Iter 30 [ 34x 11, density=0.26, nnz= 133]: FAIL (Max error: 2.30e+02)
Iter 31 [ 16x 10, density=0.07, nnz=  23]: FAIL (Max error: 2.72e+02)
Iter 32 [  6x 22, density=0.39, nnz=  47]: FAIL (Max error: 1.24e+02)
Iter 33 [  7x 17, density=0.18, nnz=  16]: FAIL (Max error: 1.21e+02)
Iter 34 [ 29x 16, density=0.20, nnz= 173]: FAIL (Max error: 3.25e+02)
Iter 35 [ 12x 27, density=0.20, nnz=  44]: FAIL (Max error: 2.47e+02)
